,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
1,2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2,2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M
3,2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M
4,2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M
5,2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M
6,2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,L
7,2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L
8,2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L
9,2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,L
10,2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M
11,2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M
12,2023,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M
13,2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M
14,2023,SE,FT,Data Analyst,204500,USD,204500,US,0,US,M
15,2023,SE,FT,Data Analyst,138900,USD,138900,US,0,US,M
16,2023,MI,FT,Business Data Analyst,105000,USD,105000,US,50,US,L
17,2023,MI,FT,Data Analyst,38000,GBP,46178,GB,0,GB,M
18,2023,MI,FT,Data Analyst,35000,GBP,42533,GB,0,GB,M
19,2023,SE,FT,Data Analyst,168400,USD,168400,US,0,US,M
20,2023,SE,FT,Data Analyst,105200,USD,105200,US,0,US,M
21,2023,SE,FT,Data Analyst,45000,GBP,54685,CF,100,CF,M
22,2023,SE,FT,Data Analyst,35000,GBP,42533,CF,100,CF,M
23,2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,M
24,2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M
25,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
26,2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M
27,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M
28,2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M
29,2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M
30,2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M
31,2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M
32,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
33,2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M
34,2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M
35,2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M
36,2023,SE,FT,Data Analyst,200000,USD,200000,US,0,US,M
37,2023,SE,FT,Data Analyst,148500,USD,148500,US,0,US,M
38,2023,SE,FT,Data Analyst,149500,USD,149500,US,100,US,M
39,2023,SE,FT,Data Analyst,127075,USD,127075,US,100,US,M
40,2023,SE,FT,Data Analyst,187000,USD,187000,US,0,US,M
41,2023,SE,FT,Data Analyst,128000,USD,128000,US,0,US,M
42,2023,SE,FT,Data Analyst,142000,USD,142000,US,100,US,M
43,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M
44,2023,SE,FT,Data Analyst,125000,USD,125000,US,100,US,M
45,2023,SE,FT,Data Analyst,112000,USD,112000,US,100,US,M
46,2023,SE,FT,Data Analyst,139000,USD,139000,US,0,US,M
47,2023,SE,FT,Data Analyst,106000,USD,106000,US,0,US,M
48,2023,EN,FT,Data Analyst,55000,CAD,40663,CA,0,CA,L
49,2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M
50,2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M
51,2023,SE,FT,Data Analyst,175000,USD,175000,CA,100,CA,M
52,2023,SE,FT,Data Analyst,135000,USD,135000,CA,100,CA,M
53,2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M
54,2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M
55,2023,MI,FT,Data Analyst,90000,USD,90000,US,0,US,M
56,2023,MI,FT,Data Analyst,75000,USD,75000,US,0,US,M
57,2023,SE,FT,Data Analyst,155000,USD,155000,US,0,US,M
58,2023,SE,FT,Data Analyst,106000,USD,106000,US,0,US,M
59,2023,MI,FT,Lead Data Analyst,68000,USD,68000,US,0,US,L
60,2023,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
61,2023,SE,FT,Data Analyst,90000,USD,90000,US,100,US,M
62,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
63,2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M
64,2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M
65,2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M
66,2023,EN,FT,Data Analyst,64200,USD,64200,US,100,US,M
67,2023,EN,FT,Data Analyst,56100,USD,56100,US,100,US,M
68,2023,SE,FT,Data Analyst,208450,USD,208450,US,100,US,M
69,2023,SE,FT,Data Analyst,170550,USD,170550,US,100,US,M
70,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
71,2023,SE,FT,Data Analyst,100500,USD,100500,US,0,US,M
72,2023,MI,FT,Data Analyst,182500,USD,182500,US,0,US,M
73,2023,MI,FT,Data Analyst,121500,USD,121500,US,0,US,M
74,2023,MI,FT,Data Analyst,60000,GBP,72914,GB,0,GB,M
75,2023,MI,FT,Data Analyst,45000,GBP,54685,GB,0,GB,M
76,2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
77,2023,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
78,2023,EN,FT,Business Data Analyst,20000,EUR,21461,ES,0,ES,M
79,2023,SE,FT,Data Analyst,175000,USD,175000,US,0,US,M
80,2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M
81,2023,SE,FT,Data Analyst,148700,USD,148700,US,0,US,M
82,2023,SE,FT,Data Analyst,125600,USD,125600,US,0,US,M
83,2023,SE,FT,Data Analyst,185000,USD,185000,US,100,US,M
84,2023,SE,FT,Data Analyst,120250,USD,120250,US,100,US,M
85,2023,SE,FT,Data Analyst,208049,USD,208049,US,0,US,M
86,2023,SE,FT,Data Analyst,128500,USD,128500,US,0,US,M
87,2023,SE,FT,Data Analyst,190000,USD,190000,US,100,US,M
88,2023,SE,FT,Data Analyst,95000,USD,95000,US,100,US,M
89,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
90,2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
91,2023,MI,FT,Data Analyst,128000,USD,128000,US,0,US,M
92,2023,MI,FT,Data Analyst,85000,USD,85000,US,0,US,M
93,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
94,2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M
95,2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
